deptCode,classNo,scoreAI,scoreCompeng,scoreInfo,scoreSystems,scoreTheory,scoreHCI,scoreGraphics
artstudi,160,0.0,0.0,0.0,0.0,0.0,1.61,2.2
artstudi,162,0.0,0.0,0.0,0.0,0.0,1.44,0.0
artstudi,163,0.0,0.0,0.0,0.0,0.0,1.71,0.0
artstudi,164,0.0,0.0,0.0,0.0,0.0,1.63,0.0
artstudi,165,0.0,0.0,0.0,0.0,0.0,1.7,0.0
artstudi,168,0.0,0.0,0.0,0.0,0.0,1.65,0.0
artstudi,170,0.0,0.0,0.0,0.0,0.0,0.0,2.42
artstudi,179,0.0,0.0,0.0,0.0,0.0,0.0,2.22
artstudi,264,0.0,0.0,0.0,0.0,0.0,1.63,0.0
artstudi,266,0.0,0.0,0.0,0.0,0.0,1.4,0.0
artstudi,267,0.0,0.0,0.0,0.0,0.0,1.45,0.0
bioe,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmi,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmi,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cme,104,0.0,0.0,0.0,0.0,0.0,0.0,20.65
cme,108,2.88,0.0,3.74,3.75,3.44,1.68,21.77
cme,302,0.0,0.0,0.0,4.2,3.44,0.0,2.51
cme,305,0.0,0.0,0.0,4.0,2.98,0.0,0.0
cme,306,0.0,0.0,0.0,0.0,0.0,0.0,2.58
comm,121,0.0,0.0,0.0,0.0,0.0,1.55,0.0
comm,124/224,0.0,0.0,0.0,0.0,0.0,1.57,0.0
comm,140,0.0,0.0,0.0,0.0,0.0,1.71,0.0
comm,166,0.0,0.0,0.0,0.0,0.0,1.52,0.0
comm,169,0.0,0.0,0.0,0.0,0.0,1.49,0.0
comm,172,0.0,0.0,0.0,0.0,0.0,1.61,0.0
comm,182,0.0,0.0,0.0,0.0,0.0,1.59,0.0
comm,240,0.0,0.0,0.0,0.0,0.0,1.66,0.0
comm,269,0.0,0.0,0.0,0.0,0.0,1.43,0.0
comm,272,0.0,0.0,0.0,0.0,0.0,1.73,0.0
comm,324,0.0,0.0,0.0,0.0,0.0,1.74,0.0
cs,108,2.83,0.0,3.71,3.89,3.33,1.72,2.3
cs,124,17.36,0.0,100.0,3.94,3.16,1.6,2.32
cs,131,21.9,0.0,4.02,4.13,3.58,1.48,14.56
cs,140,1.29,34.58,4.81,50.61,1.55,0.8,1.06
cs,140e,1.71,34.18,4.92,49.39,1.64,0.74,1.27
cs,142,2.88,0.0,9.7,3.57,3.26,37.94,2.08
cs,143,2.78,17.46,3.95,59.27,9.52,1.62,2.55
cs,144,2.94,39.77,4.04,19.18,3.38,1.53,2.22
cs,145,2.89,0.0,100.0,18.48,3.52,1.73,2.47
cs,147,2.88,0.0,4.14,3.81,3.29,100.0,2.28
cs,148,2.87,0.0,4.09,3.72,3.21,38.65,100.0
cs,149,2.89,7.13,3.97,18.4,3.72,1.63,2.24
cs,154,3.1,0.0,4.02,3.65,100.0,1.49,2.3
cs,155,2.75,0.0,3.75,19.27,9.2,1.45,2.37
cs,157,7.14,0.0,1.83,1.81,5.08,0.81,1.17
cs,164,2.87,0.0,3.92,3.94,3.03,1.48,2.39
cs,166,2.71,0.0,4.07,3.86,9.76,1.65,2.32
cs,167,2.91,0.0,3.6,3.86,25.09,1.59,2.25
cs,168,3.03,0.0,3.88,3.87,24.86,1.65,2.45
cs,178,0.0,0.0,0.0,0.0,0.0,0.0,25.55
cs,190,2.32,6.42,3.54,18.37,3.41,1.75,2.25
cs,194h,0.0,0.0,0.0,0.0,0.0,38.13,0.0
cs,205a,6.04,33.42,3.63,3.85,9.61,1.62,22.03
cs,205b,3.08,0.0,4.23,3.89,2.99,1.46,2.08
cs,210a,2.66,0.0,4.32,3.84,3.36,38.36,2.35
cs,221,100.0,0.0,3.75,3.83,3.58,1.75,2.48
