track1	track2	c1	c2	c3	c4	c5
1	1	cs 221	cs 223a	cs 131	cs 231n	cs 231a	
1	1	cs 221	cs 223a	cs 131	cs 231n	cs 231a	
1	2	cs 223a	cs 231a	cs 205a	engr 205	cs 225a	
2	1	cs 223a	cs 231a	cs 205a	engr 205	cs 225a	
1	3	cs 131	cs 205a	cs 348b	cs 233	cme 108	
3	1	cs 131	cs 205a	cs 348b	cs 233	cme 108	
1	4	cs 142	cs 147	cs 210a	cs 247	cs 148	
4	1	cs 142	cs 147	cs 210a	cs 247	cs 148	
1	5	cs 124	cs 234	cs 224n	cs 229	cs 224s	
5	1	cs 124	cs 234	cs 224n	cs 229	cs 224s	
1	6	cs 124	cs 224s	cs 205a	cs 228	cs 224u	
6	1	cs 124	cs 224s	cs 205a	cs 228	cs 224u	
1	7	cs 228	cs 262	cs 205a	cs 374	cs 157	
7	1	cs 228	cs 262	cs 205a	cs 374	cs 157	
2	2	ee 102a	ee 101b	ee 101a	ee 102b	cs 144	
2	2	ee 102a	ee 101b	ee 101a	ee 102b	cs 144	
2	3	cs 205a	cs 240	ee 282	cs 244	cs 223a	
3	2	cs 205a	cs 240	ee 282	cs 244	cs 223a	
2	4	cs 225a	cs 205a	cs 223a	me 210	cs 240	
4	2	cs 225a	cs 205a	cs 223a	me 210	cs 240	
2	5	cs 140e	cs 140	cs 240	cs 149	ee 282	
5	2	cs 140e	cs 140	cs 240	cs 149	ee 282	
2	6	cs 140	cs 140e	cs 144	ee 271	cs 244	
6	2	cs 140	cs 140e	cs 144	ee 271	cs 244	
2	7	cs 205a	cs 143	cs 223a	cs 190	cs 144	
7	2	cs 205a	cs 143	cs 223a	cs 190	cs 144	
3	3	cs 248	cs 148	cs 348c	cs 233	cs 348b	
3	3	cs 248	cs 148	cs 348c	cs 233	cs 348b	
3	4	cs 148	cs 247	cs 210a	cs 147	cs 142	
4	3	cs 148	cs 247	cs 210a	cs 147	cs 142	
3	5	cs 233	cs 348b	cs 131	cs 348c	cs 248	
5	3	cs 233	cs 348b	cs 131	cs 348c	cs 248	
3	6	cs 205a	cme 108	cs 148	cs 348c	cs 131	
6	3	cs 205a	cme 108	cs 148	cs 348c	cs 131	
3	7	cs 268	cs 205a	cs 233	cme 108	cs 348b	
7	3	cs 268	cs 205a	cs 233	cme 108	cs 348b	
4	4	cs 247	cs 147	cs 210a	cs 142	cs 148	
4	4	cs 247	cs 147	cs 210a	cs 142	cs 148	
4	5	cs 142	cs 247	cs 147	cs 210a	cs 148	
5	4	cs 142	cs 247	cs 147	cs 210a	cs 148	
4	6	cs 147	cs 247	cs 148	cs 210a	cs 142	
6	4	cs 147	cs 247	cs 148	cs 210a	cs 142	
4	7	cs 147	cs 210a	cs 148	cs 247	cs 142	
7	4	cs 147	cs 210a	cs 148	cs 247	cs 142	
5	5	cs 145	cs 124	cs 276	cs 224w	cs 270	
5	5	cs 145	cs 124	cs 276	cs 224w	cs 270	
5	6	cs 145	cs 245	cs 140e	cs 140	cs 124	
6	5	cs 145	cs 245	cs 140e	cs 140	cs 124	
5	7	cs 262	cs 233	cs 255	cs 168	cs 143	
7	5	cs 262	cs 233	cs 255	cs 168	cs 143	
6	6	ee 180	cs 143	cs 140	cs 140e	cs 242	
6	6	ee 180	cs 143	cs 140	cs 140e	cs 242	
6	7	cs 143	cs 242	cs 155	cs 255	cs 168	
7	6	cs 143	cs 242	cs 155	cs 255	cs 168	
7	7	cs 154	cs 268	cs 265	cs 168	cs 167	
7	7	cs 154	cs 268	cs 265	cs 168	cs 167	
