deptCode,classNo,scoreAI,scoreCompeng,scoreInfo,scoreSystems,scoreTheory,scoreHCI,scoreGraphics
artstudi,160,0.0,0.0,0.0,0.0,0.0,1.58,2.29
artstudi,162,0.0,0.0,0.0,0.0,0.0,1.67,0.0
artstudi,163,0.0,0.0,0.0,0.0,0.0,1.26,0.0
artstudi,164,0.0,0.0,0.0,0.0,0.0,1.54,0.0
artstudi,165,0.0,0.0,0.0,0.0,0.0,1.7,0.0
artstudi,168,0.0,0.0,0.0,0.0,0.0,1.66,0.0
artstudi,170,0.0,0.0,0.0,0.0,0.0,0.0,2.34
artstudi,179,0.0,0.0,0.0,0.0,0.0,0.0,2.21
artstudi,264,0.0,0.0,0.0,0.0,0.0,1.47,0.0
artstudi,266,0.0,0.0,0.0,0.0,0.0,1.7,0.0
artstudi,267,0.0,0.0,0.0,0.0,0.0,1.82,0.0
bioe,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmi,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmi,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cme,104,0.0,0.0,0.0,0.0,0.0,0.0,20.2
cme,108,3.54,0.0,3.85,4.1,3.47,1.53,21.81
cme,302,0.0,0.0,0.0,3.78,3.28,0.0,2.3
cme,305,0.0,0.0,0.0,4.15,3.02,0.0,0.0
cme,306,0.0,0.0,0.0,0.0,0.0,0.0,2.2
comm,121,0.0,0.0,0.0,0.0,0.0,1.7,0.0
comm,124/224,0.0,0.0,0.0,0.0,0.0,1.56,0.0
comm,140,0.0,0.0,0.0,0.0,0.0,1.45,0.0
comm,166,0.0,0.0,0.0,0.0,0.0,1.61,0.0
comm,169,0.0,0.0,0.0,0.0,0.0,1.68,0.0
comm,172,0.0,0.0,0.0,0.0,0.0,1.64,0.0
comm,182,0.0,0.0,0.0,0.0,0.0,1.74,0.0
comm,240,0.0,0.0,0.0,0.0,0.0,1.8,0.0
comm,269,0.0,0.0,0.0,0.0,0.0,1.6,0.0
comm,272,0.0,0.0,0.0,0.0,0.0,1.46,0.0
comm,324,0.0,0.0,0.0,0.0,0.0,1.59,0.0
cs,108,3.51,0.0,3.59,3.88,3.46,1.42,2.31
cs,124,18.81,0.0,100.0,3.72,3.57,1.45,2.36
cs,131,21.84,0.0,4.47,4.08,3.28,1.65,13.99
cs,140,1.76,33.67,4.83,49.49,1.59,0.83,1.13
