deptCode,classNo,scoreAI,scoreCompeng,scoreInfo,scoreSystems,scoreTheory
artstudi,160,0.0,0.0,0.0,0.0,0.0
artstudi,162,0.0,0.0,0.0,0.0,0.0
artstudi,163,0.0,0.0,0.0,0.0,0.0
artstudi,164,0.0,0.0,0.0,0.0,0.0
artstudi,165,0.0,0.0,0.0,0.0,0.0
artstudi,168,0.0,0.0,0.0,0.0,0.0
artstudi,170,0.0,0.0,0.0,0.0,0.0
artstudi,179,0.0,0.0,0.0,0.0,0.0
artstudi,264,0.0,0.0,0.0,0.0,0.0
artstudi,266,0.0,0.0,0.0,0.0,0.0
artstudi,267,0.0,0.0,0.0,0.0,0.0
bioe,101,0.0,0.0,0.0,0.0,0.0
bmi,231,0.0,0.0,0.0,0.0,0.0
bmi,260,0.0,0.0,0.0,0.0,0.0
cme,104,0.0,0.0,0.0,0.0,0.0
cme,108,3.38,0.0,4.0,3.98,3.0
cme,302,0.0,0.0,0.0,4.2,3.7
cme,305,0.0,0.0,0.0,3.88,3.2
cme,306,0.0,0.0,0.0,0.0,0.0
comm,121,0.0,0.0,0.0,0.0,0.0
comm,124/224,0.0,0.0,0.0,0.0,0.0
comm,140,0.0,0.0,0.0,0.0,0.0
comm,166,0.0,0.0,0.0,0.0,0.0
comm,169,0.0,0.0,0.0,0.0,0.0
comm,172,0.0,0.0,0.0,0.0,0.0
comm,182,0.0,0.0,0.0,0.0,0.0
comm,240,0.0,0.0,0.0,0.0,0.0
comm,269,0.0,0.0,0.0,0.0,0.0
comm,272,0.0,0.0,0.0,0.0,0.0
comm,324,0.0,0.0,0.0,0.0,0.0
cs,108,3.12,0.0,3.68,3.42,3.6
cs,124,17.82,0.0,100.0,3.84,3.36
cs,131,22.14,0.0,4.0,3.5,3.14
cs,131-or-231a,0.0,0.0,0.0,0.0,0.0
cs,140,1.66,35.36,1.84,50.32,1.42
cs,140-cs,0.0,0.0,6.18,0.0,0.0
cs,140-or-cs,0.0,0.0,0.0,0.0,0.0
cs,140e,1.8,34.32,1.76,49.68,1.8
