track1	track2	similarity
1	1	1.0000
1	1	1.0000
1	2	0.0850
2	1	0.0850
1	3	0.1333
3	1	0.1333
1	4	0.1221
4	1	0.1221
1	5	0.2653
5	1	0.2653
1	6	0.1954
6	1	0.1954
1	7	0.1883
7	1	0.1883
2	2	1.0000
2	2	1.0000
2	3	0.0166
3	2	0.0166
2	4	0.1762
4	2	0.1762
2	5	0.0879
5	2	0.0879
2	6	0.0930
6	2	0.0930
2	7	0.0852
7	2	0.0852
3	3	1.0000
3	3	1.0000
3	4	0.0487
4	3	0.0487
3	5	0.0462
5	3	0.0462
3	6	0.3660
6	3	0.3660
3	7	0.0581
7	3	0.0581
4	4	1.0000
4	4	1.0000
4	5	0.1164
5	4	0.1164
4	6	0.1245
6	4	0.1245
4	7	0.1541
7	4	0.1541
5	5	1.0000
5	5	1.0000
5	6	0.2677
6	5	0.2677
5	7	0.1707
7	5	0.1707
6	6	1.0000
6	6	1.0000
6	7	0.2235
7	6	0.2235
7	7	1.0000
7	7	1.0000
