track1	track2	c1	c2	c3	c4	c5
1	1	cs 221	cs 223a	cs 231a	cs 231n	cs 124	
1	1	cs 221	cs 223a	cs 231a	cs 231n	cs 124	
1	2	cs 223a	cs 231a	cs 205a	engr 205	cs 190	
2	1	cs 223a	cs 231a	cs 205a	engr 205	cs 190	
1	3	cs 131	cs 205a	cs 348b	cs 231a	cs 248	
3	1	cs 131	cs 205a	cs 348b	cs 231a	cs 248	
1	4	cs 247	cs 148	cs 142	cs 210a	ee 282	
4	1	cs 247	cs 148	cs 142	cs 210a	ee 282	
1	5	cs 124	cs 234	cs 224s	cs 229	cs 224n	
5	1	cs 124	cs 234	cs 224s	cs 229	cs 224n	
1	6	cs 229	cs 231a	cs 124	cs 205a	cs 243	
6	1	cs 229	cs 231a	cs 124	cs 205a	cs 243	
1	7	cs 228	cs 205a	cs 374	cs 262	cs 224u	
7	1	cs 228	cs 205a	cs 374	cs 262	cs 224u	
2	2	ee 101a	ee 101b	ee 102a	ee 102b	cs 144	
2	2	ee 101a	ee 101b	ee 102a	ee 102b	cs 144	
2	3	cs 205a	cs 231a	cs 244b	cs 149	cs 223a	
3	2	cs 205a	cs 231a	cs 244b	cs 149	cs 223a	
2	4	cs 205a	ee 282	cs 225a	cs 144	cs 190	
4	2	cs 205a	ee 282	cs 225a	cs 144	cs 190	
2	5	cs 140e	cs 190	cs 140	cs 225a	cs 244b	
5	2	cs 140e	cs 190	cs 140	cs 225a	cs 244b	
2	6	cs 140	cs 140e	ee 271	cs 244	cs 144	
6	2	cs 140	cs 140e	ee 271	cs 244	cs 144	
2	7	cs 205a	cs 143	cs 244	cs 144	cs 244b	
7	2	cs 205a	cs 143	cs 244	cs 144	cs 244b	
3	3	cs 248	cs 148	cs 348b	cs 348c	cs 348a	
3	3	cs 248	cs 148	cs 348b	cs 348c	cs 348a	
3	4	cs 148	me 101	cs 205a	cs 147	cs 210a	
4	3	cs 148	me 101	cs 205a	cs 147	cs 210a	
3	5	cs 233	cs 131	cme 108	cs 148	cs 248	
5	3	cs 233	cs 131	cme 108	cs 148	cs 248	
3	6	cs 248	cs 233	cs 205a	cs 131	cs 148	
6	3	cs 248	cs 233	cs 205a	cs 131	cs 148	
3	7	cs 268	cs 205a	cs 233	cme 108	cs 131	
7	3	cs 268	cs 205a	cs 233	cme 108	cs 131	
4	4	cs 247	cs 147	cs 448b	cs 210a	cs 148	
4	4	cs 247	cs 147	cs 448b	cs 210a	cs 148	
4	5	cs 142	cs 210a	cs 148	cs 247	cs 147	
5	4	cs 142	cs 210a	cs 148	cs 247	cs 147	
4	6	cs 148	cs 247	cs 147	cs 142	cs 210a	
6	4	cs 148	cs 247	cs 147	cs 142	cs 210a	
4	7	cs 147	cs 210a	cs 148	cs 142	cs 247	
7	4	cs 147	cs 210a	cs 148	cs 142	cs 247	
5	5	cs 145	cs 124	cs 224w	cs 276	cs 262	
5	5	cs 145	cs 124	cs 224w	cs 276	cs 262	
5	6	cs 145	cs 245	cs 140e	cs 229	cs 267	
6	5	cs 145	cs 245	cs 140e	cs 229	cs 267	
5	7	cs 233	cs 262	cs 266	cs 228	cs 267	
7	5	cs 233	cs 262	cs 266	cs 228	cs 267	
6	6	ee 180	cs 143	cs 140	cs 140e	cs 240	
6	6	ee 180	cs 143	cs 140	cs 140e	cs 240	
6	7	cs 155	cs 143	cs 242	cs 267	cs 233	
7	6	cs 155	cs 143	cs 242	cs 267	cs 233	
7	7	cs 154	cs 168	cs 167	cs 265	cs 261	
7	7	cs 154	cs 168	cs 167	cs 265	cs 261	
